Notes,ValidationRule,organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,Issue type,ErrorCode,ErrorMessage,ErrorMessageWelsh
"This valid record should present in this file as there is dependecy between this record and the next one (record should be the same as the next one, but ""to country"" field should be empty)",PackType_OW&From_To_Nation_Equal,org_id_placeholder,12,L,2023-P2,,OW,O2,PL,,EN,,101,,,,,
,PackType_OW&From_To_Nation_Equal,org_id_placeholder,12,L,2023-P2,,OW,O2,PL,,EN,EN,101,,Error/Gwall,13,Cannot be going from and to the same country in the UK,Ni all fod yn mynd o'r un wlad ac i'r un wlad yn y Deyrnas Unedig
"This valid record should present in this file as there is dependecy between this record and the next one (record should be the same as the next one, but ""to country"" field should be empty)",PackType_CW&From_To_Nation_Equal,org_id_placeholder,12,L,2023-P2,,CW,O1,PL,,NI,,101,,,,,
,PackType_CW&From_To_Nation_Equal,org_id_placeholder,12,L,2023-P2,,CW,O1,PL,,NI,NI,101,,Error/Gwall,13,Cannot be going from and to the same country in the UK,Ni all fod yn mynd o'r un wlad ac i'r un wlad yn y Deyrnas Unedig
,PackType_not_OW|CW&ToNation_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,HH,P1,GL,,,NI,101,,Error/Gwall,14,To country is not needed for this packaging type,Does dim angen y wlad mae'n cael ei anfon iddi ar gyfer y math yma o becynwaith
,PackType_not_OW|CW&ToNation_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,NH,P2,GL,,,SC,101,,Error/Gwall,14,To country is not needed for this packaging type,Does dim angen y wlad mae'n cael ei anfon iddi ar gyfer y math yma o becynwaith
,PackType_not_OW|CW&ToNation_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,PB,B1,GL,,,EN,101,,Error/Gwall,14,To country is not needed for this packaging type,Does dim angen y wlad mae'n cael ei anfon iddi ar gyfer y math yma o becynwaith
,PackType_not_OW|CW&ToNation_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,HDC,,GL,,,NI,101,101,Error/Gwall,14,To country is not needed for this packaging type,Does dim angen y wlad mae'n cael ei anfon iddi ar gyfer y math yma o becynwaith
,PackType_not_OW|CW&ToNation_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,NDC,,GL,,,NI,101,101,Error/Gwall,14,To country is not needed for this packaging type,Does dim angen y wlad mae'n cael ei anfon iddi ar gyfer y math yma o becynwaith
,PackType_not_OW|CW&ToNation_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,RU,P1,GL,,,SC,101,,Error/Gwall,14,To country is not needed for this packaging type,Does dim angen y wlad mae'n cael ei anfon iddi ar gyfer y math yma o becynwaith
,PackType_not_OW|CW&FromNation_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,NDC,,GL,,EN,,101,101,Error/Gwall,15,From country is not needed for this packaging type,Does dim angen y wlad mae'n dod ohoni ar gyfer y math yma o becynwaith
,PackType_not_OW|CW&FromNation_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,HH,P1,GL,,NI,,101,,Error/Gwall,15,From country is not needed for this packaging type,Does dim angen y wlad mae'n dod ohoni ar gyfer y math yma o becynwaith
,PackType_not_OW|CW&FromNation_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,NH,P2,GL,,SC,,101,,Error/Gwall,15,From country is not needed for this packaging type,Does dim angen y wlad mae'n dod ohoni ar gyfer y math yma o becynwaith
,PackType_not_OW|CW&FromNation_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,PB,B1,GL,,EN,,101,,Error/Gwall,15,From country is not needed for this packaging type,Does dim angen y wlad mae'n dod ohoni ar gyfer y math yma o becynwaith
,PackType_not_OW|CW&FromNation_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,HDC,,GL,,NI,,101,101,Error/Gwall,15,From country is not needed for this packaging type,Does dim angen y wlad mae'n dod ohoni ar gyfer y math yma o becynwaith
,PackType_not_OW|CW&FromNation_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,RU,P1,GL,,SC,,101,,Error/Gwall,15,From country is not needed for this packaging type,Does dim angen y wlad mae'n dod ohoni ar gyfer y math yma o becynwaith
,PackActivity_OM&OrgSize_L&PackType_NOT_HH|NH,org_id_placeholder,XYZ123ABC,L,2023-P2,OM,HDC,,GL,,,,101,101,Error/Gwall,23,"For large organisations (L), when packaging activity is supplied through an online marketplace that you own (OM), packaging type must be household packaging (HH) or non-household packaging (NH)","Yn achos sefydliadau mawr (L), pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), rhaid i'r math o becynwaith fod yn becynwaith cartref (HH) neu becynwaith nad yw'n becynwaith cartref (NH)"
,PackType_HH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,HH,P1,GL,,,,101,,Error/Gwall,25,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is household packaging (HH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith cartref (HH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_HH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,HH,P2,GL,,,,101,,Error/Gwall,25,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is household packaging (HH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith cartref (HH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_HH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,HH,P3,GL,,,,101,,Error/Gwall,25,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is household packaging (HH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith cartref (HH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_HH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,HH,P4,GL,,,,101,,Error/Gwall,25,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is household packaging (HH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith cartref (HH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_HH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,HH,P5,GL,,,,101,,Error/Gwall,25,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is household packaging (HH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith cartref (HH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_HH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,HH,O1,GL,,,,101,,Error/Gwall,25,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is household packaging (HH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith cartref (HH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_HH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,HH,O2,GL,,,,101,,Error/Gwall,25,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is household packaging (HH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith cartref (HH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_HH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,HH,B1,GL,,,,101,,Error/Gwall,25,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is household packaging (HH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith cartref (HH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_HH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,HH,,GL,,,,101,,Error/Gwall,25,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is household packaging (HH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith cartref (HH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_NH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,NH,P1,GL,,,,101,,Error/Gwall,26,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is non-household packaging (NH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith nad yw'n becynwaith cartref (NH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_NH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,NH,P2,GL,,,,101,,Error/Gwall,26,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is non-household packaging (NH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith nad yw'n becynwaith cartref (NH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_NH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,NH,P3,GL,,,,101,,Error/Gwall,26,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is non-household packaging (NH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith nad yw'n becynwaith cartref (NH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_NH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,NH,P4,GL,,,,101,,Error/Gwall,26,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is non-household packaging (NH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith nad yw'n becynwaith cartref (NH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_NH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,NH,P5,GL,,,,101,,Error/Gwall,26,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is non-household packaging (NH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith nad yw'n becynwaith cartref (NH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_NH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,NH,O1,GL,,,,101,,Error/Gwall,26,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is non-household packaging (NH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith nad yw'n becynwaith cartref (NH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_NH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,NH,O2,GL,,,,101,,Error/Gwall,26,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is non-household packaging (NH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith nad yw'n becynwaith cartref (NH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_NH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,NH,B1,GL,,,,101,,Error/Gwall,26,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is non-household packaging (NH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith nad yw'n becynwaith cartref (NH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackType_NH&PackActivity_OM&PackClass_invalid(P1|P2|P3|P4|P5|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,OM,NH,,GL,,,,101,,Error/Gwall,26,"When packaging activity is supplied through an online marketplace that you own (OM), and packaging type is non-household packaging (NH), packaging class must be online marketplace total (P6)","Pan fo'r gweithgaredd pecynnu yn cael ei gyflenwi trwy farchnad ar-lein sy'n perthyn i chi (OM), a'r math o ddeunydd pecynwaith yw pecynwaith nad yw'n becynwaith cartref (NH), rhaid i ddosbarth y pecynwaith fod yn gyfanswm y farchnad ar-lein (P6)"
,PackActivity_SO|PF|IM|SE&PackType_NH&PackClass_invalid(P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,NH,P5,GL,,,,101,,Error/Gwall,28,"When packaging type is non-household waste (NH), packaging class must be one of the codes P1, P2, P3 or P4","Os pecynwaith nad yw'n becynwaith cartref yw'r math o becynwaith, rhaid i ddosbarth y pecynwaith fod yn un o'r codau P1, P2, P3 neu P4"
,PackActivity_SO|PF|IM|SE&PackType_NH&PackClass_invalid(P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,PF,NH,P6,GL,,,,101,,Error/Gwall,28,"When packaging type is non-household waste (NH), packaging class must be one of the codes P1, P2, P3 or P4","Os pecynwaith nad yw'n becynwaith cartref yw'r math o becynwaith, rhaid i ddosbarth y pecynwaith fod yn un o'r codau P1, P2, P3 neu P4"
,PackActivity_SO|PF|IM|SE&PackType_NH&PackClass_invalid(P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,IM,NH,O1,GL,,,,101,,Error/Gwall,28,"When packaging type is non-household waste (NH), packaging class must be one of the codes P1, P2, P3 or P4","Os pecynwaith nad yw'n becynwaith cartref yw'r math o becynwaith, rhaid i ddosbarth y pecynwaith fod yn un o'r codau P1, P2, P3 neu P4"
,PackActivity_SO|PF|IM|SE&PackType_NH&PackClass_invalid(P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SE,NH,O2,GL,,,,101,,Error/Gwall,28,"When packaging type is non-household waste (NH), packaging class must be one of the codes P1, P2, P3 or P4","Os pecynwaith nad yw'n becynwaith cartref yw'r math o becynwaith, rhaid i ddosbarth y pecynwaith fod yn un o'r codau P1, P2, P3 neu P4"
,PackActivity_SO|PF|IM|SE&PackType_NH&PackClass_invalid(P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,NH,B1,GL,,,,101,,Error/Gwall,28,"When packaging type is non-household waste (NH), packaging class must be one of the codes P1, P2, P3 or P4","Os pecynwaith nad yw'n becynwaith cartref yw'r math o becynwaith, rhaid i ddosbarth y pecynwaith fod yn un o'r codau P1, P2, P3 neu P4"
,PackActivity_SO|PF|IM|SE&PackType_NH&PackClass_invalid(P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SE,NH,,GL,,,,101,,Error/Gwall,28,"When packaging type is non-household waste (NH), packaging class must be one of the codes P1, P2, P3 or P4","Os pecynwaith nad yw'n becynwaith cartref yw'r math o becynwaith, rhaid i ddosbarth y pecynwaith fod yn un o'r codau P1, P2, P3 neu P4"
,PackType_CW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,CW,P1,PL,,EN,,101,,Error/Gwall,29,Packaging type is self-managed consumer waste (CW) so packaging class can only be self-managed consumer waste - all (O1),"Gwastraff defnyddwyr hunan-reoledig (CW) yw'r math o becynwaith, felly gwastraff defnyddwyr hunan-reoledig - i gyd (O1) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_CW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,CW,P2,PL,,EN,,101,,Error/Gwall,29,Packaging type is self-managed consumer waste (CW) so packaging class can only be self-managed consumer waste - all (O1),"Gwastraff defnyddwyr hunan-reoledig (CW) yw'r math o becynwaith, felly gwastraff defnyddwyr hunan-reoledig - i gyd (O1) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_CW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,CW,P3,PL,,EN,,101,,Error/Gwall,29,Packaging type is self-managed consumer waste (CW) so packaging class can only be self-managed consumer waste - all (O1),"Gwastraff defnyddwyr hunan-reoledig (CW) yw'r math o becynwaith, felly gwastraff defnyddwyr hunan-reoledig - i gyd (O1) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_CW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,CW,P4,PL,,EN,,101,,Error/Gwall,29,Packaging type is self-managed consumer waste (CW) so packaging class can only be self-managed consumer waste - all (O1),"Gwastraff defnyddwyr hunan-reoledig (CW) yw'r math o becynwaith, felly gwastraff defnyddwyr hunan-reoledig - i gyd (O1) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_CW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,CW,P5,PL,,EN,,101,,Error/Gwall,29,Packaging type is self-managed consumer waste (CW) so packaging class can only be self-managed consumer waste - all (O1),"Gwastraff defnyddwyr hunan-reoledig (CW) yw'r math o becynwaith, felly gwastraff defnyddwyr hunan-reoledig - i gyd (O1) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_CW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,CW,P6,PL,,EN,,101,,Error/Gwall,29,Packaging type is self-managed consumer waste (CW) so packaging class can only be self-managed consumer waste - all (O1),"Gwastraff defnyddwyr hunan-reoledig (CW) yw'r math o becynwaith, felly gwastraff defnyddwyr hunan-reoledig - i gyd (O1) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_CW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,CW,O2,PL,,EN,,101,,Error/Gwall,29,Packaging type is self-managed consumer waste (CW) so packaging class can only be self-managed consumer waste - all (O1),"Gwastraff defnyddwyr hunan-reoledig (CW) yw'r math o becynwaith, felly gwastraff defnyddwyr hunan-reoledig - i gyd (O1) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_CW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,CW,B1,PL,,EN,,101,,Error/Gwall,29,Packaging type is self-managed consumer waste (CW) so packaging class can only be self-managed consumer waste - all (O1),"Gwastraff defnyddwyr hunan-reoledig (CW) yw'r math o becynwaith, felly gwastraff defnyddwyr hunan-reoledig - i gyd (O1) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_CW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,CW,,PL,,EN,,101,,Error/Gwall,29,Packaging type is self-managed consumer waste (CW) so packaging class can only be self-managed consumer waste - all (O1),"Gwastraff defnyddwyr hunan-reoledig (CW) yw'r math o becynwaith, felly gwastraff defnyddwyr hunan-reoledig - i gyd (O1) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_OW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,OW,P1,GL,,EN,,101,,Error/Gwall,30,Packaging type is self-managed organisation waste (OW) so packaging class can only be organisation waste - origin (O2),"Gwastraff sefydliad hunan-reoledig (OW) yw'r math o becynwaith, felly gwastraff sefydliad - tarddiad (O2) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_OW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,OW,P2,GL,,EN,,101,,Error/Gwall,30,Packaging type is self-managed organisation waste (OW) so packaging class can only be organisation waste - origin (O2),"Gwastraff sefydliad hunan-reoledig (OW) yw'r math o becynwaith, felly gwastraff sefydliad - tarddiad (O2) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_OW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,OW,P3,GL,,EN,,101,,Error/Gwall,30,Packaging type is self-managed organisation waste (OW) so packaging class can only be organisation waste - origin (O2),"Gwastraff sefydliad hunan-reoledig (OW) yw'r math o becynwaith, felly gwastraff sefydliad - tarddiad (O2) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_OW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,OW,P4,GL,,EN,,101,,Error/Gwall,30,Packaging type is self-managed organisation waste (OW) so packaging class can only be organisation waste - origin (O2),"Gwastraff sefydliad hunan-reoledig (OW) yw'r math o becynwaith, felly gwastraff sefydliad - tarddiad (O2) yw'r unig ddosbarth pecynwaith sy'n bosibl"
